罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,オートバイ盗,千葉中央,本町交番,121011,千葉県,千葉市中央区,要町,2018-01-12,07,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,千葉中央,蘇我駅前交番,121011,千葉県,千葉市中央区,南町２丁目,2018-06-08,10,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,千葉中央,蘇我駅前交番,121011,千葉県,千葉市中央区,南町２丁目,2018-07-09,08,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,千葉中央,浜野駅前交番,121011,千葉県,千葉市中央区,浜野町,2017-12-30,13,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,習志野,秋津交番,122165,千葉県,習志野市,秋津２丁目,2015-12-05,12,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,京成大久保駅前交番,122165,千葉県,習志野市,泉町３丁目,2018-07-07,12,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,京成大久保駅前交番,122165,千葉県,習志野市,大久保２丁目,2018-10-17,18,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,京成大久保駅前交番,122165,千葉県,習志野市,藤崎３丁目,2018-05-10,09,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,京成大久保駅前交番,122165,千葉県,習志野市,本大久保５丁目,2018-08-04,14,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,袖ヶ浦交番,122165,千葉県,習志野市,袖ケ浦２丁目,2018-10-04,21,４階建て以上共同住宅,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,習志野,津田沼駅前交番,122165,千葉県,習志野市,津田沼１丁目,2018-02-24,13,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,津田沼駅前交番,122165,千葉県,習志野市,津田沼１丁目,2018-04-07,16,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,津田沼駅前交番,122165,千葉県,習志野市,津田沼１丁目,2018-04-22,07,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,津田沼駅前交番,122165,千葉県,習志野市,津田沼１丁目,2018-04-23,19,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,習志野,津田沼駅前交番,122165,千葉県,習志野市,津田沼１丁目,2018-07-26,07,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,津田沼駅前交番,122165,千葉県,習志野市,津田沼１丁目,2018-09-01,15,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,津田沼駅前交番,122165,千葉県,習志野市,津田沼１丁目,2018-09-20,07,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,津田沼駅前交番,122165,千葉県,習志野市,津田沼１丁目,2018-11-07,12,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,津田沼駅前交番,122165,千葉県,習志野市,津田沼１丁目,2018-12-01,17,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,津田沼駅前交番,122165,千葉県,習志野市,津田沼２丁目,2014-06-15,08,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,習志野,津田沼駅前交番,122165,千葉県,習志野市,津田沼２丁目,2018-08-30,11,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,習志野,実籾交番,122165,千葉県,習志野市,東習志野４丁目,2018-08-25,09,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,谷津交番,122165,千葉県,習志野市,谷津３丁目,不明,不明,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,谷津交番,122165,千葉県,習志野市,谷津３丁目,2018-03-10,06,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,船橋,行田交番,122041,千葉県,船橋市,上山町１丁目,2018-07-31,16,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,船橋,新船橋駅前交番,122041,千葉県,船橋市,夏見３丁目,2018-03-27,18,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,船橋,中山駅前交番,122041,千葉県,船橋市,本中山７丁目,2018-09-05,18,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,船橋,西船橋駅前交番,122041,千葉県,船橋市,印内町,2018-06-02,12,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,船橋,浜町交番,122041,千葉県,船橋市,浜町２丁目,2018-03-20,18,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,船橋,浜町交番,122041,千葉県,船橋市,浜町２丁目,2018-05-03,18,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,船橋,浜町交番,122041,千葉県,船橋市,浜町２丁目,2018-09-10,18,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,船橋,浜町交番,122041,千葉県,船橋市,浜町２丁目,2018-10-18,08,その他,キーあり,あり,自動二輪（50cc超）
